tweet_id,favorite_count,retweet_count,retweet_status,url
874296783580663808,23486,3567,Original tweet,https://t.co/0YplNnSMEm
874057562936811520,20542,3458,Original tweet,https://t.co/pwY9PQhtP2
874012996292530176,30743,8778,Original tweet,https://t.co/XBE0evJZ6V
873580283840344065,21870,3408,Original tweet,https://t.co/mNuMH9400n
873337748698140672,0,1358,Original tweet,https:/…
873213775632977920,6449,1358,Original tweet,https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ
872967104147763200,24566,4663,Original tweet,https://t.co/EMYIdoblMR
872820683541237760,13324,3235,Original tweet,https://t.co/17FVMl4VZ5
872620804844003328,18727,3141,Original tweet,https://t.co/lUcpnZDPz9
872486979161796608,36855,7896,Original tweet,https://t.co/BZHiKx3FpQ
872122724285648897,30883,7010,Original tweet,https://t.co/PKSpmiefwN
871879754684805121,33803,9460,Original tweet,https://t.co/uK6PNyeh9w
871762521631449091,18263,3035,Original tweet,https://t.co/AiVljI6QCg
871515927908634625,18248,3012,Original tweet,https://t.co/PR7B7w1rUw
871166179821445120,0,4998,Original tweet,https://t.co/X…
871102520638267392,18929,4803,Original tweet,https://t.co/AbBLh2FZCH
871032628920680449,20572,3302,Original tweet,https://t.co/noNpY2Laoo
870804317367881728,30441,5388,Original tweet,https://t.co/GCD1JccCyi
870726314365509632,109,3,Original tweet,s
870656317836468226,11103,2259,Original tweet,https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4
870374049280663552,75498,23304,Original tweet,https://t.co/T1xlgaPujm
870308999962521604,19873,3625,Original tweet,https://t.co/MVQCzrF1g9
870063196459192321,33070,7241,Original tweet,https://t.co/apVOyDgOju
869772420881756160,38705,8882,Original tweet,https://t.co/HciEaJkC4D
869702957897576449,25557,5498,Original tweet,https://t.co/vmCu3PFCQq
869596645499047938,14489,2700,Original tweet,https://t.co/DsA2hwXAJo
869227993411051520,18505,3278,Original tweet,https://t.co/IoR3n1fiiQ
868880397819494401,59162,12568,Original tweet,https://t.co/r28jFx9uyF
868639477480148993,0,1793,Original tweet,https://…
868622495443632128,24135,4601,Original tweet,https://t.co/yeaH8Ej5eM
868552278524837888,9160,1793,Original tweet,https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi
867900495410671616,22024,3657,Original tweet,https://t.co/JMhDNv5wXZ
867774946302451713,30832,6399,Original tweet,https://t.co/ZYg3NZGICa
867421006826221569,14611,2167,Original tweet,https://t.co/XZlZKd73go
867072653475098625,0,105,Original tweet,https://t.co/nRCdq4g9gG
867051520902168576,29301,6937,Original tweet,https://t.co/M5Rz0R8SIQ
866720684873056260,18207,4218,Original tweet,https://t.co/Q8mVwWN3f4
866686824827068416,17491,3029,Original tweet,https://t.co/9b9J46E86Z
866450705531457537,111117,31011,Original tweet,https://t.co/wk7TfysWHr
866334964761202691,47585,12523,Original tweet,https://t.co/W86h5dgR6c
866094527597207552,0,7350,Original tweet,https://t.co/ORiK…
865718153858494464,23430,4968,Original tweet,https://t.co/pozUoHLkGg
865359393868664832,24094,4400,Original tweet,https://t.co/g20EmqK7vc
